Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Month_name,Time,Hour,Local_Authority_District,Local_Authority_Highway,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201501CW11062,529620,177960,-0.134574,51.485745,1,3,2,2,2015-06-24,4,June,08:32:00,8,1,E09000033,3,3212,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01004738
201501CW11063,529810,180400,-0.130943,51.507629,1,3,2,1,2015-07-21,3,July,23:32:00,23,1,E09000033,3,4,2,30,3,2,3,4,0,5,4,1,1,0,0,1,1,E01004736
201501CW11064,528860,180180,-0.144704,51.505869,1,3,1,3,2015-07-21,3,July,21:40:00,21,1,E09000033,3,4,6,30,3,2,6,0,0,5,4,1,1,0,0,1,1,E01004761
201501CW11065,526870,182640,-0.172477,51.528427,1,3,2,1,2015-07-21,3,July,17:34:00,17,1,E09000033,3,5205,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01004728
201501CW11066,530220,179110,-0.125514,51.495942,1,3,1,1,2015-07-21,3,July,16:25:00,16,1,E09000033,3,3212,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01004733
201501CW11067,529020,180320,-0.142349,51.507091,1,3,1,1,2015-07-21,3,July,20:50:00,20,1,E09000033,3,4,6,30,3,2,5,0,0,5,1,1,1,0,0,1,1,E01004761
201501CW11068,527590,180930,-0.162722,51.512897,1,3,2,1,2015-07-20,2,July,06:30:00,6,1,E09000033,3,402,6,30,3,2,6,0,0,5,1,1,1,0,0,1,2,E01004689
201501CW11069,528410,180400,-0.151104,51.507949,1,2,1,1,2015-07-21,3,July,12:30:00,12,1,E09000033,5,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01004762
201501CW11070,527850,180900,-0.158988,51.512569,1,3,1,1,2015-07-21,3,July,19:36:00,19,1,E09000033,3,40,6,30,3,2,3,4202,0,5,4,1,1,0,0,1,1,E01004689
201501CW11071,526800,179880,-0.174477,51.503639,1,3,2,1,2015-06-20,7,June,16:26:00,16,1,E09000033,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01004689
201501CW11073,527320,181920,-0.166253,51.521855,1,3,2,1,2015-07-22,4,July,17:45:00,17,1,E09000033,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01033603
