Accident_Index,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Month_name,Time,Hour,Weather_Conditions,Road_Surface_Conditions,Speed_limit
201501LX50035,-0.100457,51.447159,3,2,1,2015-01-16,6,January,08:50:00,8,1,1,30
201501LX50036,-0.101604,51.429911,2,1,1,2015-01-17,7,January,04:20:00,4,1,1,30
201501LX50037,-0.121554,51.452085,3,1,1,2015-01-08,5,January,15:15:00,15,1,2,30
201501LX50038,-0.124579,51.466072,3,2,2,2015-01-16,6,January,13:33:00,13,1,1,30
201501LX50040,-0.133346,51.473496,3,1,1,2015-01-14,4,January,16:00:00,16,1,1,30
201501LX50041,-0.136301,51.471654,3,2,1,2015-01-13,3,January,08:11:00,8,2,2,30
201501LX50042,-0.097898,51.439473,3,1,1,2015-01-21,4,January,06:05:00,6,1,1,30
201501LX50043,-0.097159,51.422645,3,2,1,2015-01-05,2,January,14:10:00,14,1,1,30
201501LX50048,-0.116383,51.486803,3,1,1,2015-01-20,3,January,08:54:00,8,1,1,30
201501LX50049,-0.105948,51.488344,3,2,1,2015-01-23,6,January,19:00:00,19,1,1,30
201501LX50050,-0.129452,51.463092,3,2,1,2015-01-14,4,January,08:10:00,8,1,1,30
201501LX50051,-0.114546,51.499903,2,1,1,2015-01-09,6,January,19:10:00,19,1,1,30
201501LX50053,-0.148818,51.461241,2,1,1,2015-01-19,2,January,17:00:00,17,1,1,30
201501LX50054,-0.138738,51.425921,2,1,1,2015-01-25,1,January,18:55:00,18,1,1,30
201501LX50055,-0.129926,51.430367,3,2,1,2015-01-11,1,January,20:45:00,20,1,2,30
201501LX50056,-0.105952,51.488254,3,2,1,2015-01-10,7,January,17:15:00,17,1,1,30
201501LX50058,-0.129444,51.459765,3,1,1,2015-01-18,1,January,18:20:00,18,1,4,30
201501LX50059,-0.112611,51.470016,3,1,1,2015-01-15,5,January,15:20:00,15,1,1,30
201501LX50060,-0.12172,51.451548,3,1,1,2015-01-12,2,January,20:00:00,20,5,2,30
201501LX50061,-0.13049,51.451778,3,2,1,2015-01-27,3,January,15:59:00,15,1,1,30
201501LX50064,-0.121407,51.452172,3,2,1,2015-01-21,4,January,08:46:00,8,1,1,30
201501LX50066,-0.124269,51.459592,3,1,1,2015-01-19,2,January,15:03:00,15,1,1,30
201501LX50067,-0.138848,51.41612,2,1,1,2015-01-23,6,January,21:27:00,21,1,1,30
201501LX50069,-0.118186,51.467498,3,2,1,2015-01-21,4,January,19:11:00,19,1,1,30
201501LX50070,-0.119004,51.475605,3,2,1,2015-01-26,2,January,06:50:00,6,1,2,30
201501LX50071,-0.130077,51.430189,3,1,1,2015-01-28,4,January,15:24:00,15,1,2,30
201501LX50072,-0.124371,51.446555,3,1,1,2015-01-16,6,January,18:59:00,18,1,2,30
201501LX50073,-0.102881,51.426875,3,2,1,2015-01-30,6,January,12:15:00,12,1,1,30
